id,host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,availability_365,estimated_occupancy_l365d,number_of_reviews_ly,last_review,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,geometry,AREA,zona_peuat,Reviews
18674,2010,1,2,2,la Sagrada Família,Eixample,Entire home/apt,2,3,6,179,147,30,5,2024-09-16,4.59,4.73,4.7,4.8,4.32,"c(430844.038602544, 4584109.91634756)",1334.33646724,2,1
23197,2010,0,2,2,el Besòs i el Maresme,Sant Martí,Entire home/apt,2,3,4,251,0,48,7,2025-01-03,4.89,4.94,4.99,4.63,4.66,"c(434790.297653753, 4584836.2515562)",474.370862243,3,1
32711,2010,1,2,2,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire home/apt,1,2,3,104,107,186,37,2025-03-04,4.4,4.88,4.89,4.89,4.49,"c(430637.689952891, 4584122.99310634)",1334.33646724,2,1
34241,2010,1,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,1,1,1,157,327,255,17,2024-11-05,4.55,4.68,4.68,4.73,4.23,"c(431030.82248413, 4581339.08085736)",1316.17983204,1,1
34981,2010,1,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,3,4,6,401,191,255,34,2025-02-02,4.65,4.68,4.7,4.66,4.43,"c(431118.57008692, 4581244.98246739)",1316.17983204,1,1
36763,2010,1,2,2,la Barceloneta,Ciutat Vella,Private room,1,1,1,46,89,0,0,2023-12-13,4.71,4.93,4.92,4.92,4.82,"c(432349.264901869, 4581305.55754919)",1316.17983204,1,0
40983,2010,2,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,2,149,262,255,61,2025-02-22,4.53,4.83,4.83,4.89,4.48,"c(430474.764364221, 4583086.43493105)",1316.17983204,1,1
41952,2010,1,2,2,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire home/apt,2,2,4,199,296,156,27,2024-11-10,4.22,4.55,4.48,4.7,4.19,"c(430577.530115635, 4584125.79026402)",1334.33646724,2,1
320506,2012,1,2,2,el Poble Sec,Sants-Montjuïc,Entire home/apt,1,1,1,122,129,32,5,2024-12-01,4.78,4.91,4.89,4.69,4.68,"c(430535.783456686, 4580381.19245244)",1316.17983204,1,1
323854,2012,1,2,2,la Sagrada Família,Eixample,Private room,NA,NA,NA,NA,0,0,0,2014-07-29,4.24,4.9,4.67,4.48,4.67,"c(431040.990695044, 4584426.69078351)",1334.33646724,2,0
330723,2012,1,2,2,el Raval,Ciutat Vella,Private room,2,1,1,21,62,186,3,2025-01-19,4.68,4.75,4.54,4.54,4.56,"c(430691.978042153, 4580797.16399777)",1316.17983204,1,1
330745,2011,1,2,2,la Vila Olímpica del Poblenou,Sant Martí,Entire home/apt,2,2,2,220,0,0,0,2015-06-22,4.76,4.82,5,4.94,4.47,"c(432780.763857736, 4582116.48680396)",1316.17983204,1,0
330766,2012,2,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,3,123,5,255,47,2025-02-27,4.86,4.98,4.99,4.98,4.83,"c(431029.832829989, 4582464.91903564)",1316.17983204,1,1
330957,2011,2,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,3,4,159,317,255,73,2025-02-23,4.77,4.88,4.89,4.83,4.7,"c(430665.031398898, 4583252.72488486)",1316.17983204,1,1
337755,2012,2,2,2,la Vila Olímpica del Poblenou,Sant Martí,Entire home/apt,1,1,2,172,52,126,22,2025-02-25,4.43,4.99,4.99,4.85,4.31,"c(432555.422272153, 4582647.33537737)",1316.17983204,1,1
341563,2011,1,2,2,les Corts,Les Corts,Entire home/apt,1,1,2,160,365,0,0,2012-04-26,5,5,5,5,5,"c(427318.758620609, 4581595.19912096)",1334.33646724,2,0
343861,2012,1,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,1,147,162,66,11,2025-02-04,4.43,4.79,4.83,4.74,4.15,"c(430231.189274196, 4583490.7021217)",1316.17983204,1,1
49968,2010,1,2,2,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire home/apt,1,2,7,126,97,174,31,2025-02-24,4.42,4.92,4.95,4.88,4.59,"c(430638.568343483, 4584127.42585158)",1334.33646724,2,1
58512,2010,2,2,2,el Camp de l'Arpa del Clot,Sant Martí,Entire home/apt,2,3,3,139,16,126,19,2025-01-07,4.47,4.67,4.78,4.38,4.51,"c(431628.2229795, 4584738.66336363)",474.370862243,3,1
68547,2011,2,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,2,2,2,162,365,62,1,2024-09-08,4.31,4.92,4.93,4.9,4.67,"c(431264.092767822, 4581334.64395383)",1316.17983204,1,1
71520,2011,1,2,1,Vallcarca i els Penitents,Gràcia,Entire home/apt,3,3,5,315,0,0,0,2011-06-23,5,5,5,4,5,"c(427552.528207135, 4585568.84106352)",850.437775277,3,0
71553,2011,1,2,1,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,1,162,255,18,2,2025-02-17,4.45,4.43,4.6,4.57,4.13,"c(431008.059057716, 4583163.4965581)",1316.17983204,1,1
71736,2011,1,2,2,el Raval,Ciutat Vella,Entire home/apt,1,4,5,70,365,62,1,2024-05-31,3.25,3.88,3.75,4.25,3.75,"c(430317.929084973, 4581470.25277742)",1316.17983204,1,1
72436,2011,1,2,2,el Poblenou,Sant Martí,Entire home/apt,1,1,2,173,240,255,121,2025-02-27,4.77,4.76,4.8,4.79,4.52,"c(433738.70061525, 4583364.49636717)",1316.17983204,1,1
72793,2011,1,2,2,el Raval,Ciutat Vella,Entire home/apt,1,2,2,69,1,0,0,2014-08-27,4,5,5,4,4,"c(430235.237671773, 4581393.32834971)",1316.17983204,1,0
343864,2012,1,2,2,la Vila de Gràcia,Gràcia,Entire home/apt,2,3,5,151,160,108,15,2025-01-24,4.48,4.81,4.81,4.83,4.26,"c(429695.002355085, 4584319.72494983)",1316.17983204,1,1
343866,2012,1,2,2,la Vila de Gràcia,Gràcia,Entire home/apt,2,3,4,171,135,255,39,2025-02-11,4.53,4.76,4.8,4.9,4.34,"c(429423.901514498, 4583949.30377867)",1316.17983204,1,1
345129,2011,1,2,1,el Barri Gòtic,Ciutat Vella,Private room,NA,1,NA,NA,0,0,0,2013-10-15,4.56,4.63,4.53,4.97,4.66,"c(430711.165846177, 4581841.75853983)",1316.17983204,1,0
