NOM,BARRIO_MODELO,EF_BARRIO,EF_CENTRADO,INTERPRETACION,DISTANCIA_UNION
Baró de Viver,NA,NA,NA,No estimado,NA
Can Baró,Can Baró,0,0.5695329775424447,Superior a la media,0
Can Peguera,NA,NA,NA,No estimado,NA
Canyelles,Canyelles,-14.228481281619601,-13.658948304077157,Inferior a la media,0
Ciutat Meridiana,NA,NA,NA,No estimado,NA
Diagonal Mar i el Front Marítim del Poblenou,Diagonal Mar i el Front Marítim del Poblenou,1.7864789081390473,2.3560118856814922,Superior a la media,0
Horta,Horta,-2.6065066352177517,-2.036973657675307,Inferior a la media,0
Hostafrancs,Hostafrancs,2.1602276637324387,2.7297606412748836,Superior a la media,0
Montbau,Montbau,-1.1151764721105764,-0.5456434945681317,Inferior a la media,0
Navas,Navas,-0.7897397386547143,-0.22020676111226956,Inferior a la media,0
Pedralbes,Pedralbes,0.42849789796130433,0.998030875503749,Superior a la media,0
Porta,Porta,-2.055933355368719,-1.4864003778262742,Inferior a la media,0
Provençals del Poblenou,Provençals del Poblenou,-1.0544938884468893,-0.4849609109044446,Inferior a la media,0
Sant Andreu,Sant Andreu,-1.5547386989608913,-0.9852057214184466,Inferior a la media,0
Sant Antoni,Sant Antoni Nord / Sant Antoni Sud,2.807395103120826,3.376928080663271,Superior a la media,0
Sant Genís dels Agudells,Sant Genís dels Agudells,-1.657587820946766,-1.0880548434043213,Inferior a la media,0
Sant Gervasi - Galvany,Sant Gervasi - Galvany,2.0983186397568545,2.6678516172992994,Superior a la media,0
Sant Gervasi - la Bonanova,Sant Gervasi - la Bonanova,0.6359975075848614,1.205530485127306,Superior a la media,0
Sant Martí de Provençals,Sant Martí de Provençals,-2.169999266768725,-1.6004662892262804,Inferior a la media,0
"Sant Pere, Santa Caterina i la Ribera","Sant Pere, Santa Caterina i la Ribera",3.5553150023316995,4.124847979874144,Superior a la media,0
Sants,Sants,0.9236531256926153,1.49318610323506,Superior a la media,0
Sants - Badal,Sants - Badal,1.2535409813741367,1.8230739589165814,Superior a la media,0
Sarrià,Sarrià,0.6579782704753985,1.2275112480178432,Superior a la media,0
Torre Baró,NA,NA,NA,No estimado,NA
Vallbona,NA,NA,NA,No estimado,NA
Vallcarca i els Penitents,Vallcarca i els Penitents Nord / Vallcarca i els Penitents Sud,0.525559811314267,1.0950927888567117,Superior a la media,0
"Vallvidrera, el Tibidabo i les Planes","Vallvidrera, el Tibidabo i les Planes",0.4998331997547045,1.0693661772971492,Superior a la media,0
Verdun,Verdun,-3.3506301058480794,-2.7810971283056345,Inferior a la media,0
Vilapicina i la Torre Llobeta,Vilapicina i la Torre Llobeta,-1.4133106398834174,-0.8437776623409727,Inferior a la media,0
el Baix Guinardó,el Baix Guinardó,0.31012171053662385,0.8796546880790685,Superior a la media,0
el Barri Gòtic,el Barri Gòtic,3.5589820214952663,4.128514999037711,Superior a la media,0
el Besòs i el Maresme,el Besòs i el Maresme,-0.4768629460347782,0.0926700315076665,Superior a la media,0
el Bon Pastor,el Bon Pastor,-2.2692754970260616,-1.6997425194836169,Inferior a la media,0
el Camp d'en Grassot i Gràcia Nova,el Camp d'en Grassot i Gràcia Nova,1.2667077616876181,1.8362407392300628,Superior a la media,0
el Camp de l'Arpa del Clot,el Camp de l'Arpa del Clot,0.6410187440698536,1.2105517216122983,Superior a la media,0
el Carmel,el Carmel,-0.7848616692661761,-0.21532869172373137,Inferior a la media,0
el Clot,el Clot,-0.9558196144834739,-0.38628663694102916,Inferior a la media,0
el Coll,el Coll,0.3397582962592911,0.9092912738017358,Superior a la media,0
el Congrés i els Indians,el Congrés i els Indians,-1.1382181415222776,-0.5686851639798329,Inferior a la media,0
el Fort Pienc,el Fort Pienc,1.7285363828910771,2.298069360433522,Superior a la media,0
el Guinardó,el Guinardó,-0.3100521090248014,0.2594808685176433,Superior a la media,0
el Parc i la Llacuna del Poblenou,el Parc i la Llacuna del Poblenou,1.8997981436540492,2.469331121196494,Superior a la media,0
