NOM,BARRIO_MODELO,EF_BARRIO,EF_CENTRADO,INTERPRETACION,DISTANCIA_UNION
Baró de Viver,Baró de Viver,0,-11.28319973155928,Inferior a la media,0
Can Baró,Can Baró,12.212202131294639,0.9290023997353583,Superior a la media,0
Can Peguera,Can Peguera,11.237315295104585,-0.04588443645469553,Inferior a la media,0
Canyelles,NA,NA,NA,No estimado,NA
Ciutat Meridiana,NA,NA,NA,No estimado,NA
Diagonal Mar i el Front Marítim del Poblenou,Diagonal Mar i el Front Marítim del Poblenou,11.655120653185229,0.37192092162594825,Superior a la media,0
Horta,Horta,10.788385433570568,-0.4948142979887127,Inferior a la media,0
Hostafrancs,Hostafrancs,12.754513732879065,1.4713140013197847,Superior a la media,0
Montbau,Montbau,11.749684947380995,0.46648521582171476,Superior a la media,0
Navas,Navas,11.529704516089744,0.24650478453046354,Superior a la media,0
Pedralbes,Pedralbes,8.961286185812611,-2.3219135457466695,Inferior a la media,0
Porta,Porta,11.260463253132999,-0.022736478426281792,Inferior a la media,0
Provençals del Poblenou,Provençals del Poblenou,11.021625195947813,-0.2615745356114676,Inferior a la media,0
Sant Andreu,Sant Andreu,10.991758583093237,-0.29144114846604374,Inferior a la media,0
Sant Antoni,Sant Antoni Nord / Sant Antoni Sud,12.92405154794151,1.640851816382229,Superior a la media,0
Sant Genís dels Agudells,Sant Genís dels Agudells,11.125283594445431,-0.15791613711384933,Inferior a la media,0
Sant Gervasi - Galvany,Sant Gervasi - Galvany,11.033684690762612,-0.24951504079666798,Inferior a la media,0
Sant Gervasi - la Bonanova,Sant Gervasi - la Bonanova,10.217075047948157,-1.0661246836111236,Inferior a la media,0
Sant Martí de Provençals,Sant Martí de Provençals,11.964592098806968,0.6813923672476871,Superior a la media,0
"Sant Pere, Santa Caterina i la Ribera","Sant Pere, Santa Caterina i la Ribera",13.854887796898005,2.5716880653387246,Superior a la media,0
Sants,Sants,12.275916004965588,0.9927162734063071,Superior a la media,0
Sants - Badal,Sants - Badal,12.506422898769038,1.223223167209758,Superior a la media,0
Sarrià,Sarrià,9.390919944434387,-1.8922797871248935,Inferior a la media,0
Torre Baró,Torre Baró,0.15011364357709667,-11.133086087982184,Inferior a la media,0
Vallbona,NA,NA,NA,No estimado,NA
Vallcarca i els Penitents,Vallcarca i els Penitents Nord / Vallcarca i els Penitents Sud,11.375294105541574,0.09209437398229348,Superior a la media,0
"Vallvidrera, el Tibidabo i les Planes","Vallvidrera, el Tibidabo i les Planes",11.341074265835942,0.057874534276662004,Superior a la media,0
Verdun,Verdun,11.847234583280237,0.5640348517209564,Superior a la media,0
Vilapicina i la Torre Llobeta,Vilapicina i la Torre Llobeta,11.394725239058825,0.11152550749954493,Superior a la media,0
el Baix Guinardó,el Baix Guinardó,12.126175965356115,0.8429762337968345,Superior a la media,0
el Barri Gòtic,el Barri Gòtic,14.327207844408466,3.044008112849186,Superior a la media,0
el Besòs i el Maresme,el Besòs i el Maresme,12.967731977685869,1.6845322461265884,Superior a la media,0
el Bon Pastor,el Bon Pastor,10.010667157932012,-1.2725325736272683,Inferior a la media,0
el Camp d'en Grassot i Gràcia Nova,el Camp d'en Grassot i Gràcia Nova,11.956406169343794,0.6732064377845131,Superior a la media,0
el Camp de l'Arpa del Clot,el Camp de l'Arpa del Clot,12.144803154047281,0.8616034224880007,Superior a la media,0
el Carmel,el Carmel,12.123833998250266,0.8406342666909854,Superior a la media,0
el Clot,el Clot,11.812458800549408,0.5292590689901271,Superior a la media,0
el Coll,el Coll,11.657744840104776,0.3745451085454956,Superior a la media,0
el Congrés i els Indians,el Congrés i els Indians,12.17382199444581,0.890622262886529,Superior a la media,0
el Fort Pienc,el Fort Pienc,12.56832765290924,1.2851279213499591,Superior a la media,0
el Guinardó,el Guinardó,11.655058863798907,0.3718591322396261,Superior a la media,0
el Parc i la Llacuna del Poblenou,el Parc i la Llacuna del Poblenou,12.329816638716668,1.0466169071573876,Superior a la media,0
el Poble-sec,el Poble Sec,13.529161442661053,2.2459617111017725,Superior a la media,0
el Poblenou,el Poblenou,12.184837712923837,0.9016379813645568,Superior a la media,0
el Putxet i el Farró,el Putxet i el Farró Nord / el Putxet i el Farró Sud,11.16795663822763,-0.11524309333165128,Inferior a la media,0
el Raval,el Raval,14.349450301997654,3.066250570438374,Superior a la media,0
el Turó de la Peira,el Turó de la Peira,11.949233974418028,0.666034242858748,Superior a la media,0
l'Antiga Esquerra de l'Eixample,l'Antiga Esquerra de l'Eixample,12.42527844743752,1.14207871587824,Superior a la media,0
la Barceloneta,la Barceloneta,13.329307051822237,2.0461073202629567,Superior a la media,0
la Bordeta,la Bordeta,12.192549622151986,0.909349890592706,Superior a la media,0
la Clota,la Clota,0.8374067113992041,-10.445793020160076,Inferior a la media,0
la Dreta de l'Eixample,la Dreta de l'Eixample,13.076771324369616,1.793571592810336,Superior a la media,0
la Font d'en Fargues,la Font d'en Fargues,10.14485108393086,-1.1383486476284208,Inferior a la media,0
la Font de la Guatlla,la Font de la Guatlla,12.84650083746083,1.5633011059015498,Superior a la media,0
la Guineueta,la Guineueta,10.833179061114453,-0.4500206704448271,Inferior a la media,0
la Marina de Port,la Marina de Port,12.041793074676004,0.7585933431167238,Superior a la media,0
la Marina del Prat Vermell,NA,NA,NA,No estimado,NA
la Maternitat i Sant Ramon,la Maternitat i Sant Ramon,10.907886498785771,-0.37531323277350914,Inferior a la media,0
la Nova Esquerra de l'Eixample,la Nova Esquerra de l'Eixample,12.226781371674306,0.9435816401150259,Superior a la media,0
la Prosperitat,la Prosperitat,11.324803080003043,0.04160334844376301,Superior a la media,0
la Sagrada Família,la Sagrada Família,12.576352113788772,1.2931523822294917,Superior a la media,0
la Sagrera,la Sagrera,11.071518822945912,-0.21168090861336886,Inferior a la media,0
la Salut,la Salut,11.487351259352948,0.20415152779366785,Superior a la media,0
la Teixonera,la Teixonera,11.632516045754107,0.34931631419482656,Superior a la media,0
la Trinitat Nova,la Trinitat Nova,12.262746427695163,0.9795466961358823,Superior a la media,0
la Trinitat Vella,la Trinitat Vella,11.627978307104149,0.34477857554486846,Superior a la media,0
la Vall d'Hebron,la Vall d'Hebron,10.918883759241453,-0.36431597231782753,Inferior a la media,0
