Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2017,1,Ciutat Vella,1,el Raval,1,1001,174
2017,1,Ciutat Vella,1,el Raval,1,1002,199
2017,1,Ciutat Vella,1,el Raval,2,1003,337
2017,1,Ciutat Vella,1,el Raval,2,1004,333
2017,1,Ciutat Vella,1,el Raval,3,1005,318
2017,1,Ciutat Vella,1,el Raval,3,1006,217
2017,1,Ciutat Vella,1,el Raval,3,1007,251
2017,1,Ciutat Vella,1,el Raval,4,1008,371
2017,1,Ciutat Vella,1,el Raval,4,1009,281
2017,1,Ciutat Vella,1,el Raval,4,1010,278
2017,1,Ciutat Vella,1,el Raval,5,1011,402
2017,1,Ciutat Vella,1,el Raval,5,1012,193
2017,1,Ciutat Vella,1,el Raval,5,1013,121
2017,1,Ciutat Vella,1,el Raval,6,1014,252
2017,1,Ciutat Vella,1,el Raval,6,1015,250
2017,1,Ciutat Vella,1,el Raval,6,1016,249
2017,1,Ciutat Vella,1,el Raval,6,1017,198
2017,1,Ciutat Vella,1,el Raval,7,1018,162
2017,1,Ciutat Vella,1,el Raval,7,1019,327
2017,1,Ciutat Vella,1,el Raval,7,1020,232
2017,1,Ciutat Vella,1,el Raval,8,1021,244
2017,1,Ciutat Vella,2,el Barri Gòtic,9,1022,145
2017,1,Ciutat Vella,2,el Barri Gòtic,9,1023,244
2017,1,Ciutat Vella,2,el Barri Gòtic,10,1025,183
2017,1,Ciutat Vella,2,el Barri Gòtic,10,1026,811
2017,1,Ciutat Vella,2,el Barri Gòtic,10,1027,227
2017,1,Ciutat Vella,2,el Barri Gòtic,11,1028,273
2017,1,Ciutat Vella,2,el Barri Gòtic,11,1029,238
2017,1,Ciutat Vella,2,el Barri Gòtic,12,1030,360
2017,1,Ciutat Vella,2,el Barri Gòtic,12,1031,206
2017,1,Ciutat Vella,3,la Barceloneta,13,1032,249
2017,1,Ciutat Vella,3,la Barceloneta,13,1033,123
2017,1,Ciutat Vella,3,la Barceloneta,13,1034,118
2017,1,Ciutat Vella,3,la Barceloneta,14,1035,185
2017,1,Ciutat Vella,3,la Barceloneta,14,1036,107
2017,1,Ciutat Vella,3,la Barceloneta,15,1037,130
2017,1,Ciutat Vella,3,la Barceloneta,15,1038,228
2017,1,Ciutat Vella,3,la Barceloneta,15,1039,143
2017,1,Ciutat Vella,3,la Barceloneta,15,1040,131
