Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2017,1,el Raval,2451,1
2017,1,el Raval,396,2
2017,1,el Raval,80,3
2017,1,el Raval,149,4
2017,1,el Raval,57,5
2017,1,el Raval,96,6
2017,1,el Raval,56,7
2017,1,el Raval,92,8
2017,1,el Raval,139,9
2017,1,el Raval,257,10
2017,1,el Raval,386,11
2017,1,el Raval,..,12
2017,1,el Raval,73,13
2017,1,el Raval,31,14
2017,1,el Raval,42,15
2017,1,el Raval,20,16
2017,1,el Raval,37,17
2017,1,el Raval,76,18
2017,1,el Raval,20,19
2017,1,el Raval,13,20
2017,1,el Raval,..,21
2017,1,el Raval,7,22
2017,1,el Raval,20,23
2017,1,el Raval,..,24
2017,1,el Raval,10,25
2017,1,el Raval,16,26
2017,1,el Raval,29,27
2017,1,el Raval,29,28
2017,1,el Raval,8,29
2017,1,el Raval,12,30
2017,1,el Raval,89,31
2017,1,el Raval,28,32
2017,1,el Raval,27,33
2017,1,el Raval,8,34
2017,1,el Raval,35,35
2017,1,el Raval,8,36
2017,1,el Raval,50,37
2017,1,el Raval,9,38
2017,1,el Raval,8,39
2017,1,el Raval,..,40
2017,1,el Raval,7,41
2017,1,el Raval,20,43
2017,1,el Raval,15,44
2017,1,el Raval,17,45
2017,1,el Raval,20,46
2017,1,el Raval,..,47
2017,1,el Raval,12,48
2017,1,el Raval,5,49
2017,1,el Raval,20,50
2017,1,el Raval,17,51
2017,1,el Raval,30,52
2017,1,el Raval,13,53
2017,1,el Raval,..,54
2017,1,el Raval,25,55
2017,1,el Raval,..,56
2017,1,el Raval,21,57
2017,1,el Raval,..,58
2017,1,el Raval,28,59
2017,1,el Raval,52,60
2017,1,el Raval,38,61
2017,1,el Raval,10,62
2017,1,el Raval,9,63
2017,1,el Raval,47,64
2017,1,el Raval,28,65
2017,1,el Raval,20,66
2017,1,el Raval,..,67
2017,1,el Raval,42,68
2017,1,el Raval,17,69
2017,1,el Raval,58,70
2017,1,el Raval,17,71
2017,1,el Raval,17,72
2017,1,el Raval,19,73
2017,2,el Barri Gòtic,233,1
2017,2,el Barri Gòtic,276,2
2017,2,el Barri Gòtic,45,3
2017,2,el Barri Gòtic,104,4
